Alaska_TBD_1    ,0.6  ,100   ,4     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
Australia_TBD_1 ,0.6  ,200   ,8     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.85 ,BUR/concrete_deck        ,concrete_road           ,19 , 37 ,notes
Brazil_TBD_1    ,0.7  ,120   ,4.8   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.7  ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
C-Africa_TBD_1  ,0.6  , 70   ,2.8   ,0.25  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.65 ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 , 32 ,notes
C-Asia_TBD_1    ,0.5  , 60   ,2.4   ,0.2   ,plaster_veneer/brick_masonry , 0.2   , glass_2r_w ,0.55 ,galv_steel/metal_joists  ,asphalt_road/stabilized ,19 , 32 ,notes
Canada_TBD_1    ,0.6  ,100   ,4     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
Caribbean_TBD_1 ,0.5  , 90   ,3.6   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.75 ,ceramic_tile/wood_deck   ,concrete_road           ,17 , 32 ,notes
China_TBD_1     ,0.6  ,180   ,7.2   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.5  ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
E-Africa_TBD_1  ,0.9  , 60   ,2.4   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.4  ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 32 ,notes
E-Asia_TBD_1    ,0.5  ,180   ,7.2   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
E-Europe_TBD_1  ,0.8  ,200   ,8     ,0.2   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.4  ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
Greenland_TBD_1 ,0.6  ,100   ,4     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
India_TBD_1     ,0.8  , 80   ,3.2   ,0.2   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
Mid-East_TBD_1  ,0.8  ,200   ,8     ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.5  ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 32 ,notes
Middle-Am_TBD_1 ,0.5  , 90   ,3.6   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.75 ,ceramic_tile/wood_deck   ,concrete_road           ,17 , 32 ,notes
N-Africa_TBD_1  ,0.5  , 80   ,3.2   ,0.15  ,stone_curtain/conc_masonry   , 0.15  , glass_2c   ,0.65 ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 32 ,notes
N-Europe_TBD_1  ,0.6  ,100   ,4     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2r_w ,0.75 ,galv_steel/metal_joists  ,concrete_road           ,19 , 32 ,notes
NC-USA_TBD_1    ,0.6  ,120   ,4.8   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.8  ,BUR/concrete_deck        ,concrete_road           ,19 , 32 ,notes
NE-USA_TBD_1    ,0.6  ,160   ,6.4   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.75 ,BUR/concrete_deck        ,concrete_road           ,19 , 32 ,notes
NW-USA_TBD_1    ,0.6  , 70   ,2.8   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.7  ,BUR/concrete_deck        ,concrete_road           ,19 , 32 ,notes
Oceania_TBD_1   ,0.9  ,100   ,4     ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 32 ,notes
Russia_TBD_1    ,0.8  ,200   ,8     ,0.2   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.4  ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
S-Africa_TBD_1  ,0.7  ,80    ,3.2   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.7  ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
S-Asia_TBD_1    ,0.9  , 70   ,2.8   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.65 ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
S-Europe_TBD_1  ,0.8  ,200   ,8     ,0.2   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.4  ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
SC-USA_TBD_1    ,0.7  ,120   ,4.8   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
SE-Asia_TBD_1   ,0.7  , 90   ,3.6   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
SE-USA_TBD_1    ,0.7  ,100   ,4     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.65 ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
SW-USA_TBD_1    ,0.7  ,130   ,5.2   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
Temp-SA_TBD_1   ,0.7  ,120   ,4.8   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.7  ,BUR/concrete_deck        ,concrete_road           ,19 , 32 ,notes
Trop-SA_TBD_1   ,0.7  ,120   ,4.8   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.7  ,BUR/concrete_deck        ,concrete_road           ,17 , 37 ,notes
W-Africa_TBD_1  ,0.6  , 70   ,2.8   ,0.25  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.65 ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 , 32 ,notes
W-Europe_TBD_1  ,0.6  ,100   ,4     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.75 ,galv_steel/metal_joists  ,concrete_road           ,19 , 32 ,notes
Alaska_HD_1     ,0.7  , 30   ,1.2   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.25 ,BUR/concrete_deck        ,asphalt_road/stabilized ,19 , 37 ,notes
Australia_HD_1  ,0.6  , 45   ,1.8   ,0.1   ,brick_veneer/conc_masonry    , 0.2   , glass_2c   ,0.7  ,ceramic_tile/wood_deck   ,concrete_road           ,17 , 37 ,notes
Brazil_HD_1     ,0.6  , 40   ,1.6   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.8  ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 , 37 ,notes
C-Africa_HD_1   ,0.5  , 20   ,0.8   ,0.35  ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.65 ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 ,100 ,notes
C-Asia_HD_1     ,0.7  , 30   ,1.2   ,0.5   ,plaster_veneer/conc_masonry  , 0.2   , glass_2r_w ,0.4  ,galv_steel/metal_joists  ,dirt_improved           ,12 , 37 ,notes
Canada_HD_1     ,0.5  , 40   ,1.6   ,0.25  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.5  ,BUR/concrete_deck        ,concrete_road           ,17 , 37 ,notes
Caribbean_HD_1  ,0.7  , 35   ,1.4   ,0.3   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.6  ,BUR/concrete_deck        ,asphalt_road/simple     ,12 ,100 ,notes
China_HD_1      ,0.7  , 45   ,1.8   ,0.15  ,brick_veneer/conc_masonry    , 0.2   , glass_2c   ,0.6  ,BUR/wood_deck            ,asphalt_road/stabilized ,12 , 37 ,notes
E-Africa_HD_1   ,0.6  , 20   ,0.8   ,0.2   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/wood_deck            ,asphalt_road/simple     ,12 ,100 ,notes
E-Asia_HD_1     ,0.5  , 45   ,1.8   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.7  ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 , 37 ,notes
E-Europe_HD_1   ,0.8  , 40   ,1.6   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 , 37 ,notes
Greenland_HD_1  ,0.5  , 17   ,2.125 ,0.7   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.1  ,galv_steel/metal_joists  ,asphalt_road/simple     ,12 , 37 ,notes
India_HD_1      ,0.5  , 30   ,1.2   ,0.4   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.55 ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 ,100 ,notes
Mid-East_HD_1   ,0.7  , 45   ,1.8   ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.8  ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 , 42 ,notes
